session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list2,1,Ball_neu,Ball,neu,2,LFP,SN,cblock,tool,Ball_gruen,ball_gruen.png
train4,list2,2,Baum_gruen,Baum,gruen,3,HFP,SP,cblock,nature,Baum_gruen,baum_gruen.png
train4,list2,3,Blatt_gruen,Blatt,gruen,6,HFP,SN,cblock,nature,Blatt_rot,blatt_rot.png
train4,list2,4,Blume_neu,Blume,neu,7,LFP,SN,cblock,nature,Blume_schwarz,blume_schwarz.png
train4,list2,5,Bombe_alt,Bombe,alt,8,LFP,SN,cblock,etc,Bombe_rot,bombe_rot.png
train4,list2,6,Brille_neu,Brille,neu,10,HFP,SN,cblock,etc,Brille_weiss,brille_weiss.png
train4,list2,7,Buch_neu,Buch,neu,12,HFP,SN,cblock,etc,Buch_weiss,buch_weiss.png
train4,list2,8,Burg_rot,Burg,rot,13,LFP,SP,cblock,building,Burg_rot,burg_rot.png
train4,list2,9,Dach_rot,Dach,rot,15,HFP,SP,cblock,building,Dach_rot,dach_rot.png
train4,list2,10,Ei_gruen,Ei,gruen,16,LFP,SN,cblock,food,Ei_schwarz,ei_schwarz.png
train4,list2,11,Fabrik_rot,Fabrik,rot,18,LFP,SP,cblock,building,Fabrik_rot,fabrik_rot.png
train4,list2,12,Fahrrad_alt,Fahrrad,alt,19,HFP,SN,cblock,transportation,Fahrrad_gruen,fahrrad_gruen.png
train4,list2,13,Feder_weiss,Feder,weiss,20,HFP,SP,cblock,etc,Feder_weiss,feder_weiss.png
train4,list2,14,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SP,cblock,transportation,Flugzeug_weiss,flugzeug_weiss.png
train4,list2,15,Frau_schwarz,Frau,schwarz,23,HFP,SP,cblock,human,Frau_schwarz,frau_schwarz.png
train4,list2,16,Geschenk_klein,Geschenk,klein,24,HFP,SN,cblock,etc,Geschenk_schwarz,geschenk_schwarz.png
train4,list2,17,Hemd_weiss,Hemd,weiss,27,HFP,SP,cblock,clothing,Hemd_weiss,hemd_weiss.png
train4,list2,18,Herd_neu,Herd,neu,28,HFP,SN,cblock,tool,Herd_rot,herd_rot.png
train4,list2,19,Hose_schwarz,Hose,schwarz,29,HFP,SP,cblock,clothing,Hose_schwarz,hose_schwarz.png
train4,list2,20,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SN,cblock,food,Kaffee_gruen,kaffee_gruen.png
train4,list2,21,Kerze_klein,Kerze,klein,33,HFP,SN,cblock,etc,Kerze_rot,kerze_rot.png
train4,list2,22,Kirche_alt,Kirche,alt,34,HFP,SN,cblock,building,Kirche_schwarz,kirche_schwarz.png
train4,list2,23,Krone_klein,Krone,klein,36,LFP,SN,cblock,etc,Krone_rot,krone_rot.png
train4,list2,24,Mantel_schwarz,Mantel,schwarz,39,HFP,SP,cblock,clothing,Mantel_schwarz,mantel_schwarz.png
train4,list2,25,Mauer_gruen,Mauer,gruen,40,LFP,SP,cblock,building,Mauer_gruen,mauer_gruen.png
train4,list2,26,Nest_gruen,Nest,gruen,41,LFP,SP,cblock,building,Nest_gruen,nest_gruen.png
train4,list2,27,Palast_gross,Palast,gross,43,HFP,SN,cblock,building,Palast_rot,palast_rot.png
train4,list2,28,Rad_alt,Rad,alt,46,LFP,SN,cblock,etc,Rad_rot,rad_rot.png
train4,list2,29,Schuh_rot,Schuh,rot,50,HFP,SP,cblock,clothing,Schuh_rot,schuh_rot.png
train4,list2,30,Tisch_gruen,Tisch,gruen,54,HFP,SP,cblock,furniture,Tisch_gruen,tisch_gruen.png
train4,list2,31,Topf_schwarz,Topf,schwarz,56,LFP,SP,cblock,tool,Topf_schwarz,topf_schwarz.png
train4,list2,32,Turm_weiss,Turm,weiss,58,LFP,SN,cblock,building,Turm_gruen,turm_gruen.png
train4,list2,33,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SP,cblock,etc,Zeitung_schwarz,zeitung_schwarz.png
train4,list2,34,Zug_gross,Zug,gross,64,HFP,SN,cblock,transportation,Zug_gruen,zug_gruen.png
